"","0wk","1wk","2wk","3wk","4wk","5wk","6wk","7wk","8wk","9wk","10wk","11wk","12wk","13wk","14wk","15wk","16wk","17wk","18wk","19wk","20wk","21wk","22wk","23wk","24wk","25wk","26wk","27wk","28wk","29wk","30wk","31wk","32wk","33wk","34wk","35wk","36wk","37wk","38wk","39wk","40wk","41wk","42wk","43wk","44wk","45wk","46wk","47wk","48wk","49wk","50wk","51wk","52wk","53wk"
"0wk",0.947736866081704,0.916754410949982,0.871113900439936,0.824878419380633,0.781740319286062,0.743453539627389,0.709531360165633,0.679341151718486,0.652322756022784,0.627995445894206,0.605984807662271,0.586045522255434,0.567947182458873,0.551484586936736,0.536483659767432,0.522805513207849,0.51032484937112,0.49890675965351,0.48844732366742,0.478860907043015,0.470076775511131,0.462043494733659,0.454703998745566,0.447991271194156,0.441862117404549,0.436294287148158,0.431231868632767,0.426618290134458,0.422418110712942,0.418614827534456,0.415172390513759,0.412046830049341,0.409214117391739,0.406643147976454,0.4043051019707,0.402178160613187,0.400243991458858,0.398486795614076,0.396892798975609,0.395449931226806,0.394147618020205,0.392976667364121,0.391929278789696,0.390999355894134,0.390184614010561,0.389479831287239,0.388876405188026,0.388362447951491,0.387930112354029,0.387571905094521,0.387280624759403,0.387051524072687,0.386880268658932,0.386761481843317
"1wk",0.904118456939635,0.926918050018209,0.909805488085515,0.88197511097406,0.850273072813615,0.817625187665465,0.785466895156503,0.754496574722754,0.72503602436735,0.697218843970192,0.671080355337054,0.64660041444518,0.623726490210289,0.602387773665696,0.582504166706556,0.563991926609734,0.546767104791329,0.530747584409179,0.515854259131374,0.502011698430274,0.489148507477835,0.477197498570037,0.466095735015748,0.455784477400195,0.44620905380323,0.437318672059104,0.429066194481746,0.421407893004279,0.414303199681223,0.407714462614426,0.401606715577883,0.395947463833166,0.390706488620339,0.385855669902029,0.381368826520415,0.377221571647848,0.373391181900654,0.369856478125063,0.36659771627826,0.363596486677105,0.360835620874946,0.358299105248063,0.355972000494809,0.353840366556456,0.351891192813696,0.350112333149187,0.348492445468932,0.347020935664896,0.345687905773482,0.344484105884584,0.343400889894943,0.342430174494811,0.341564401495729,0.340796502820589
"2wk",0.853674283506382,0.906998631764048,0.916691937679527,0.909252163868678,0.892534118490605,0.870186258680258,0.845238064004145,0.819233143629726,0.792900348503654,0.766707008698863,0.741051383318663,0.716209308229442,0.692349051486209,0.669567603732199,0.647895779227165,0.627343041424316,0.607908288696279,0.589590747073278,0.572347491816041,0.556140544438762,0.540943305412515,0.526732417440909,0.51343887257765,0.501002020793709,0.489375331383987,0.47851960851695,0.468404899634311,0.458978988488669,0.45019825954445,0.442027840740363,0.434434076770937,0.427386745242087,0.420858611167615,0.414820712605654,0.409242272714999,0.404094691841929,0.399355077767513,0.395011617811547,0.391041792181869,0.387413430337166,0.384105034458507,0.381100743065494,0.378375786573262,0.375907714686542,0.373677688017652,0.371669124362107,0.369867322243374,0.368259154100645,0.366832665674257,0.365576675086275,0.364480927391678,0.363536738297221,0.362738260552484,0.362081711377455
"3wk",0.804013374732185,0.878691676624305,0.908426014177474,0.916870517403985,0.912898632183224,0.901150161445312,0.884882739784287,0.865809230883664,0.84484858098838,0.822707438945625,0.800066626030771,0.77742627846028,0.75510611431645,0.733323092397893,0.712232891709579,0.691942297375025,0.672518758819807,0.654000465943133,0.636404794250915,0.619734740561914,0.603982538564414,0.589131051493867,0.575155893163244,0.562028620425285,0.549718237262035,0.538191155967727,0.527411735996953,0.517343784862092,0.507951770218194,0.499201298340886,0.491059213400365,0.483493596166642,0.476473746188565,0.46997016364727,0.463954537485084,0.458399731115763,0.453279752117326,0.448569705446014,0.444245741809864,0.440285008699095,0.436665606339062,0.433366549899139,0.430367736916706,0.427649914331826,0.425194644307473,0.422984281042605,0.421001972889397,0.41923168620012,0.417658229757757,0.416267261457813,0.415045274032685,0.413979565776568,0.413058205047607,0.412269994263566
"4wk",0.759830098038466,0.847751472438631,0.892128177757628,0.912746087876217,0.919360028469822,0.917149014068012,0.909137453291301,0.897104617349012,0.88201503381847,0.864648603588168,0.845924972431235,0.826525660925986,0.806815379695812,0.787033801440163,0.767475149073267,0.74834722964092,0.729780257561572,0.711860636045438,0.694646278831939,0.678173305668403,0.662461669993409,0.647520199853553,0.633351064221865,0.619944324743131,0.607287687764254,0.595368451718758,0.58416545803709,0.573650762833817,0.563800568298298,0.554590154254016,0.545991625184548,0.537973546500246,0.530507783969455,0.523568305824438,0.517127653014993,0.511157098960789,0.505630734960544,0.500522881910886,0.495808150869063,0.491463004248304,0.487465488099989,0.483794904349034,0.480430920921037,0.477353689633878,0.474544727117707,0.47198663735459,0.469662979623698,0.467558083166026,0.465656904386061,0.463944908874482,0.4624089703035,0.461036936402142,0.459816478753899,0.45873622114125
"5wk",0.720850794148939,0.816590688703252,0.871254289806677,0.901869673657516,0.917538819668092,0.923389195310907,0.922443332156951,0.916559907720458,0.90690595350232,0.894403708715518,0.879921603530202,0.864094573889107,0.847363189988526,0.830065681133237,0.812527372697312,0.795002941352965,0.777677956024231,0.760688651017697,0.744141618548658,0.728112990336601,0.712656328317063,0.697808627994359,0.683594157395802,0.670027057053969,0.657113246239697,0.644851917560088,0.633236821381428,0.622257457003805,0.611900042101005,0.602147815952801,0.592981085054788,0.58437859791114,0.576318946734112,0.568780440465749,0.561737970607617,0.555167166101641,0.549044499572812,0.543347026705648,0.538052349688054,0.533138711395506,0.52858510419823,0.524371372597413,0.520478151108468,0.516886373019588,0.513577974643275,0.510535770434371,0.507743251323544,0.505184759783607,0.50284543147341,0.500711158282767,0.498768558496426,0.497004943177027,0.495408267020162,0.493966984674533
"6wk",0.685980323481041,0.78633594977536,0.848271141671631,0.886881471350314,0.910197508323028,0.922928248466128,0.928146498716805,0.927840894716559,0.923279881679529,0.915415740054187,0.905070889766993,0.89285278456652,0.879211670788955,0.864510366188254,0.849117419170181,0.833340199716382,0.817414238537755,0.801520616931253,0.785798941281366,0.770356860541024,0.755277030482091,0.740622589699623,0.726443865605795,0.712778530623844,0.699653029692992,0.687084650278118,0.675083047912592,0.66365150170791,0.652787968972015,0.642486006059797,0.632735611761707,0.623523990049144,0.614836201529266,0.606655699203012,0.598964776818492,0.59174495006575,0.58497727201827,0.578642580680812,0.57272168561082,0.567195505414104,0.562045169246251,0.557252092919544,0.552798038066009,0.548665160721331,0.544836053576268,0.541293783494687,0.538021924677303,0.535004588054827,0.532226446805016,0.529672757387441,0.527329376659838,0.525182774230654,0.523220040690976,0.521428890629803
"7wk",0.654707694243236,0.757506495591877,0.824446322273624,0.86925435867391,0.898976664755048,0.91761832259766,0.928293560467544,0.933067549946506,0.9332171789141,0.929704884684845,0.923303696204185,0.914597696434574,0.904015486288351,0.891923558072703,0.87871633438247,0.864764216915167,0.85034741506901,0.835675408530841,0.820915767230871,0.806201074802356,0.791634866412178,0.777302910308341,0.76327911768603,0.749624539469885,0.736386985873518,0.723602509997774,0.711297346936862,0.699489804962499,0.688191806351661,0.677408835456982,0.667139283535182,0.657377875404858,0.648117284942279,0.639348019029628,0.63105846366996,0.623235470480996,0.615864917532121,0.608931926707732,0.602421033123615,0.596316489772632,0.590602440251859,0.585262883203837,0.580281661918487,0.575642560449117,0.571329373259448,0.567325889685166,0.563615899795788,0.560183298689559,0.557012226908133,0.554087169128405,0.551393014888008,0.548915104536019,0.546639256739619,0.544551783794441
"8wk",0.626749760457032,0.73031799854217,0.800396546280341,0.849834518290328,0.884849134274679,0.908588798001062,0.924183562454498,0.93362963551782,0.938114111031287,0.9385763064337,0.935801486751073,0.930401992271671,0.922793198648373,0.913240730847016,0.902195147640654,0.890148833495801,0.877379226199262,0.864076481383697,0.850449130885582,0.836655741789163,0.822803379533095,0.808985198661835,0.795303957667575,0.781847095309646,0.768681172905866,0.755859484394964,0.743424081502573,0.731405331728467,0.71983010939295,0.708719652121436,0.698076935235354,0.687900773990189,0.678192721709499,0.668955725474749,0.660183850474105,0.651866153784725,0.643990250928222,0.636545825940524,0.629519296244944,0.622900167690605,0.616684045544086,0.61086142164823,0.605411211081398,0.600315943024419,0.595563888460638,0.591145640342015,0.587043437794883,0.583236641035078,0.579709330469875,0.576448678201421,0.573437341803553,0.570657842449804,0.56809679482658,0.56574386498547
"9wk",0.601738930616984,0.704835516562669,0.776514020693098,0.829264080922427,0.868431673216368,0.896657129121707,0.916760872388238,0.930501221252968,0.938947045638121,0.942991403970009,0.943447693133934,0.940973099075757,0.936021845921231,0.928932733399363,0.920169874830484,0.910153933735114,0.899166222159482,0.88741342092105,0.875108488138204,0.862421995875435,0.84948729184138,0.836419480644112,0.823328037020996,0.810312586531928,0.797456390479668,0.784828040558206,0.7724838435234,0.7604697432967,0.748823330962095,0.737573101722146,0.726735813809172,0.71632212834854,0.706339846221911,0.696793338479439,0.687682724071606,0.679004918104905,0.670754916543174,0.662926527693887,0.655512822725487,0.648506251709497,0.641898255259987,0.635678659161336,0.629835822792355,0.62435779740214,0.619233396876512,0.614450893618291,0.609994144899157,0.605844829095094,0.601985609277745,0.598400174306111,0.595072849155724,0.591988471508581,0.58913230614354,0.586489720904949
